Name,Subjects
Academic 0,['Geography and Environmental Studies']
Academic 1,"['Architecture, Built Environment and Planning']"
Academic 2,['Biological Sciences']
Academic 3,"['Art and Design: History, Practice and Theory']"
Academic 4,['Archaeology']
Academic 5,"['Architecture, Built Environment and Planning']"
Academic 6,['Philosophy']
Academic 7,['Anthropology and Development Studies']
Academic 8,"['Communication, Cultural and Media Studies, Library and Information Management']"
Academic 9,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']"
Academic 10,['English Language and Literature']
Academic 11,['Area Studies']
Academic 12,['Chemistry']
Academic 13,['Classics']
Academic 14,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']"
Academic 15,"['Architecture, Built Environment and Planning']"
Academic 16,"['Psychology, Psychiatry and Neuroscience']"
Academic 17,['Theology and Religious Studies']
Academic 18,"['Computer Science and Informatics', 'Music, Drama, Dance, Performing Arts, Film and Screen Studies']"
Academic 19,"['Communication, Cultural and Media Studies, Library and Information Management', 'Architecture, Built Environment and Planning', 'Geography and Environmental Studies']"
Academic 20,['Earth Systems and Environmental Sciences']
Academic 21,['Classics']
Academic 22,['Engineering']
Academic 23,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']"
Academic 24,['Social Work and Social Policy']
Academic 25,['Economics and Econometrics']
Academic 26,['Theology and Religious Studies']
Academic 27,"['Public Health, Health Services and Primary Care', 'Economics and Econometrics', 'Law']"
Academic 28,['Area Studies']
Academic 29,['English Language and Literature']
Academic 30,"['Sport and Exercise Sciences, Leisure and Tourism']"
Academic 31,['Business and Management Studies']
Academic 32,"['Architecture, Built Environment and Planning']"
Academic 33,['Anthropology and Development Studies']
Academic 34,['Politics and International Studies']
Academic 35,['Archaeology']
Academic 36,"['Classics', 'Communication, Cultural and Media Studies, Library and Information Management']"
Academic 37,['Physics']
Academic 38,['Chemistry']
Academic 39,['Politics and International Studies']
Academic 40,['Anthropology and Development Studies']
Academic 41,['Computer Science and Informatics']
Academic 42,['Business and Management Studies']
Academic 43,"['Communication, Cultural and Media Studies, Library and Information Management']"
Academic 44,"['Biological Sciences', 'Allied Health Professions, Dentistry, Nursing and Pharmacy']"
Academic 45,['Business and Management Studies']
Academic 46,['Modern Languages and Linguistics']
Academic 47,['Theology and Religious Studies']
Academic 48,['Theology and Religious Studies']
Academic 49,['Politics and International Studies']
Academic 50,['Engineering']
Academic 51,['Engineering']
Academic 52,"['Psychology, Psychiatry and Neuroscience']"
Academic 53,"['History', 'Physics', 'Sport and Exercise Sciences, Leisure and Tourism']"
Academic 54,['Social Work and Social Policy']
Academic 55,['English Language and Literature']
Academic 56,"['Communication, Cultural and Media Studies, Library and Information Management']"
Academic 57,['Social Work and Social Policy']
Academic 58,['Theology and Religious Studies']
Academic 59,['Modern Languages and Linguistics']
Academic 60,['History']
Academic 61,['Clinical Medicine']
Academic 62,"['Engineering', 'Business and Management Studies', 'Sport and Exercise Sciences, Leisure and Tourism']"
Academic 63,['History']
Academic 64,['Theology and Religious Studies']
Academic 65,['Engineering']
Academic 66,"['Sport and Exercise Sciences, Leisure and Tourism']"
Academic 67,['Sociology']
Academic 68,['English Language and Literature']
Academic 69,['Geography and Environmental Studies']
Academic 70,"['Art and Design: History, Practice and Theory']"
Academic 71,['Biological Sciences']
Academic 72,['Politics and International Studies']
Academic 73,"['Agriculture, Food and Veterinary Sciences', 'Business and Management Studies', 'Chemistry', 'Allied Health Professions, Dentistry, Nursing and Pharmacy']"
Academic 74,['Classics']
Academic 75,"['Communication, Cultural and Media Studies, Library and Information Management']"
Academic 76,['Politics and International Studies']
Academic 77,"['Anthropology and Development Studies', 'Business and Management Studies', 'Area Studies']"
Academic 78,['Computer Science and Informatics']
Academic 79,['Modern Languages and Linguistics']
Academic 80,"['Agriculture, Food and Veterinary Sciences']"
Academic 81,"['Mathematical Sciences', 'Geography and Environmental Studies', 'Earth Systems and Environmental Sciences']"
Academic 82,['Geography and Environmental Studies']
Academic 83,"['Agriculture, Food and Veterinary Sciences']"
Academic 84,"['Architecture, Built Environment and Planning']"
Academic 85,['History']
Academic 86,['Archaeology']
Academic 87,['Theology and Religious Studies']
Academic 88,['Sociology']
Academic 89,"['Psychology, Psychiatry and Neuroscience']"
Academic 90,"['Psychology, Psychiatry and Neuroscience']"
Academic 91,"['Sport and Exercise Sciences, Leisure and Tourism']"
Academic 92,['Classics']
Academic 93,['Social Work and Social Policy']
Academic 94,['Law']
Academic 95,"['Sport and Exercise Sciences, Leisure and Tourism']"
Academic 96,['Computer Science and Informatics']
Academic 97,['Law']
Academic 98,"['Psychology, Psychiatry and Neuroscience']"
Academic 99,['Education']
Academic 100,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']"
Academic 101,['Modern Languages and Linguistics']
Academic 102,"['Psychology, Psychiatry and Neuroscience']"
Academic 103,['Classics']
Academic 104,['Biological Sciences']
Academic 105,['Education']
Academic 106,['Area Studies']
Academic 107,['Politics and International Studies']
Academic 108,['English Language and Literature']
Academic 109,"['Art and Design: History, Practice and Theory']"
Academic 110,"['Art and Design: History, Practice and Theory']"
Academic 111,['Mathematical Sciences']
Academic 112,['Area Studies']
Academic 113,['Chemistry']
Academic 114,['Biological Sciences']
Academic 115,['Politics and International Studies']
Academic 116,['Area Studies']
Academic 117,['History']
Academic 118,['Social Work and Social Policy']
Academic 119,['Anthropology and Development Studies']
Academic 120,['Classics']
Academic 121,['Area Studies']
Academic 122,"['Art and Design: History, Practice and Theory']"
Academic 123,"['Earth Systems and Environmental Sciences', 'Public Health, Health Services and Primary Care']"
Academic 124,['English Language and Literature']
Academic 125,"['Sociology', 'Social Work and Social Policy', 'Education']"
Academic 126,"['Communication, Cultural and Media Studies, Library and Information Management']"
Academic 127,['Business and Management Studies']
Academic 128,['Biological Sciences']
Academic 129,"['Agriculture, Food and Veterinary Sciences']"
Academic 130,['Computer Science and Informatics']
Academic 131,['Business and Management Studies']
Academic 132,['Clinical Medicine']
Academic 133,['Theology and Religious Studies']
Academic 134,['Physics']
Academic 135,['Area Studies']
Academic 136,['Philosophy']
Academic 137,['Modern Languages and Linguistics']
Academic 138,['Theology and Religious Studies']
Academic 139,"['Communication, Cultural and Media Studies, Library and Information Management']"
Academic 140,"['Communication, Cultural and Media Studies, Library and Information Management', 'Public Health, Health Services and Primary Care', 'Communication, Cultural and Media Studies, Library and Information Management']"
Academic 141,['Archaeology']
Academic 142,['Area Studies']
Academic 143,"['Psychology, Psychiatry and Neuroscience']"
Academic 144,['Computer Science and Informatics']
Academic 145,"['Sport and Exercise Sciences, Leisure and Tourism']"
Academic 146,['Modern Languages and Linguistics']
Academic 147,['Earth Systems and Environmental Sciences']
Academic 148,['Economics and Econometrics']
