Academic,Subject(s),Papers
Academic 0,['Area Studies'],['Paper 1637']
Academic 1,['Geography and Environmental Studies'],[]
Academic 2,['Physics'],[]
Academic 3,['Engineering'],"['Paper 1447', 'Paper 4077', 'Paper 4969', 'Paper 3800', 'Paper 235']"
Academic 4,"['Biological Sciences', 'Business and Management Studies', 'Allied Health Professions, Dentistry, Nursing and Pharmacy', 'Archaeology']",[]
Academic 5,['Anthropology and Development Studies'],"['Paper 1190', 'Paper 1725', 'Paper 48', 'Paper 2724']"
Academic 6,['Archaeology'],"['Paper 1228', 'Paper 421', 'Paper 3914', 'Paper 2706']"
Academic 7,"['Sport and Exercise Sciences, Leisure and Tourism', 'Music, Drama, Dance, Performing Arts, Film and Screen Studies']",[]
Academic 8,['Anthropology and Development Studies'],['Paper 1332']
Academic 9,['Computer Science and Informatics'],"['Paper 2668', 'Paper 1981', 'Paper 4517', 'Paper 2391', 'Paper 3455']"
Academic 10,['Social Work and Social Policy'],"['Paper 4790', 'Paper 2538', 'Paper 925', 'Paper 529', 'Paper 3357']"
Academic 11,['Biological Sciences'],"['Paper 2355', 'Paper 2751']"
Academic 12,['Archaeology'],"['Paper 4320', 'Paper 1147']"
Academic 13,['Biological Sciences'],['Paper 2327']
Academic 14,['Computer Science and Informatics'],"['Paper 4722', 'Paper 207', 'Paper 709', 'Paper 610', 'Paper 704']"
Academic 15,['Geography and Environmental Studies'],"['Paper 1216', 'Paper 1831', 'Paper 3208']"
Academic 16,['Chemistry'],[]
Academic 17,['Clinical Medicine'],"['Paper 1723', 'Paper 2513']"
Academic 18,"['Politics and International Studies', 'Sociology']",[]
Academic 19,['Social Work and Social Policy'],"['Paper 755', 'Paper 899', 'Paper 3274']"
Academic 20,['Philosophy'],"['Paper 3776', 'Paper 3081', 'Paper 4506']"
Academic 21,"['Economics and Econometrics', 'Physics', 'Modern Languages and Linguistics', 'Sociology']",[]
