institution_id,institution_name,uoa_id,uoa_name,submission_fte,output_count,aggregate_ref_score
10007783,University of Aberdeen,1,Clinical Medicine,139.02,100,2.92
10007783,University of Aberdeen,2,"Public Health, Health Services and Primary Care",30.15,100,3.53
10007783,University of Aberdeen,4,"Psychology, Psychiatry and Neuroscience",25,100,3.28
10007783,University of Aberdeen,5,Biological Sciences,16.5,100,2.97
10007783,University of Aberdeen,7,Earth Systems and Environmental Sciences,83.2,100,3.13
10007783,University of Aberdeen,8,Chemistry,19,100,3.16
10007783,University of Aberdeen,10,Mathematical Sciences,24,100,3.1
10007783,University of Aberdeen,11,Computer Science and Informatics,15.5,100,3.2
10007783,University of Aberdeen,12,Engineering,69.4,100,2.92
10007783,University of Aberdeen,15,Archaeology,10,100,3.19
10007783,University of Aberdeen,17,Business and Management Studies,62.85,100,2.96
10007783,University of Aberdeen,18,Law,41,100,3.08
10007783,University of Aberdeen,19,Politics and International Studies,19.8,100,2.68
10007783,University of Aberdeen,21,Sociology,9.3,100,2.86
10007783,University of Aberdeen,22,Anthropology and Development Studies,11.5,100,3.09
10007783,University of Aberdeen,23,Education,15.8,100,2.59
10007783,University of Aberdeen,26,Modern Languages and Linguistics,18,100,2.89
10007783,University of Aberdeen,27,English Language and Literature,22.66,100,3.23
10007783,University of Aberdeen,28,History,26.5,100,2.87
10007783,University of Aberdeen,30,Philosophy,8.8,100,2.69
10007783,University of Aberdeen,31,Theology and Religious Studies,19.4,100,3.6
10007783,University of Aberdeen,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",10.75,100,2.74
10007849,Abertay University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",10,70,2.55
10007849,Abertay University,4,"Psychology, Psychiatry and Neuroscience",14.55,100,2.68
10007849,Abertay University,6,"Agriculture, Food and Veterinary Sciences",11.72,100,2.81
10007849,Abertay University,12,Engineering,26,75,2.74
10007849,Abertay University,18,Law,7,95,1.83
10007849,Abertay University,21,Sociology,10,70,2.33
10007849,Abertay University,24,"Sport and Exercise Sciences, Leisure and Tourism",11.6,80,2.51
10007849,Abertay University,32,"Art and Design: History, Practice and Theory",19.9,75,3.08
10007856,Aberystwyth University / Prifysgol Aberystwyth,4,"Psychology, Psychiatry and Neuroscience",18,100,2.17
10007856,Aberystwyth University / Prifysgol Aberystwyth,6,"Agriculture, Food and Veterinary Sciences",81.75,100,3.21
10007856,Aberystwyth University / Prifysgol Aberystwyth,9,Physics,18.17,100,2.7
10007856,Aberystwyth University / Prifysgol Aberystwyth,10,Mathematical Sciences,12,100,2.86
10007856,Aberystwyth University / Prifysgol Aberystwyth,11,Computer Science and Informatics,27.82,100,3.17
10007856,Aberystwyth University / Prifysgol Aberystwyth,14,Geography and Environmental Studies,34.91,100,3.26
10007856,Aberystwyth University / Prifysgol Aberystwyth,17,Business and Management Studies,18.67,100,2.61
10007856,Aberystwyth University / Prifysgol Aberystwyth,18,Law,12.6,100,2.62
10007856,Aberystwyth University / Prifysgol Aberystwyth,19,Politics and International Studies,22.7,100,3.15
10007856,Aberystwyth University / Prifysgol Aberystwyth,26,Modern Languages and Linguistics,14.5,100,3.03
10007856,Aberystwyth University / Prifysgol Aberystwyth,27,English Language and Literature,10.7,100,2.76
10007856,Aberystwyth University / Prifysgol Aberystwyth,28,History,12.25,100,2.89
10007856,Aberystwyth University / Prifysgol Aberystwyth,32,"Art and Design: History, Practice and Theory",7,100,3.08
10007856,Aberystwyth University / Prifysgol Aberystwyth,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",16.7,100,3.08
10000163,AECC University College,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",7.7,20,2.07
10000291,Anglia Ruskin University Higher Education Corporation,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",50.9,25,3
10000291,Anglia Ruskin University Higher Education Corporation,4,"Psychology, Psychiatry and Neuroscience",28.8,90,2.68
10000291,Anglia Ruskin University Higher Education Corporation,12,Engineering,15.6,50,2.31
10000291,Anglia Ruskin University Higher Education Corporation,13,"Architecture, Built Environment and Planning",19,55,2.65
10000291,Anglia Ruskin University Higher Education Corporation,14,Geography and Environmental Studies,20.7,75,2.54
10000291,Anglia Ruskin University Higher Education Corporation,17,Business and Management Studies,17.3,30,3.15
10000291,Anglia Ruskin University Higher Education Corporation,18,Law,8,50,2.27
10000291,Anglia Ruskin University Higher Education Corporation,20,Social Work and Social Policy,15.51,55,2.84
10000291,Anglia Ruskin University Higher Education Corporation,21,Sociology,13,50,2.73
10000291,Anglia Ruskin University Higher Education Corporation,23,Education,7.5,25,2.45
10000291,Anglia Ruskin University Higher Education Corporation,24,"Sport and Exercise Sciences, Leisure and Tourism",12,75,2.58
10000291,Anglia Ruskin University Higher Education Corporation,27,English Language and Literature,16.2,80,3.16
10000291,Anglia Ruskin University Higher Education Corporation,28,History,5,70,3.16
10000291,Anglia Ruskin University Higher Education Corporation,32,"Art and Design: History, Practice and Theory",16.7,45,2.84
